Code,Name,Latitude,Longitude,Marine-REG_ID,Marine-REG_SP,Marine-REG_NAME,Temper-REG_ID,Temper-REG_SP,Temper-REG_NAME,division
DT_0016,여수,34.747222,127.765556,12B10000,I,남해서부,11F20401,C,여수,전라남도
DT_0017,대산,37.0075,126.352778,12A10000,I,서해북부,11C20101,C,서산,충청남도
DT_0018,군산,35.975556,126.563056,12A20000,I,서해중부,21F10501,C,군산,서남해안
DT_0019,가덕도,35.024167,128.810833,12B20000,I,남해동부,11H20201,C,부산,경상남도
DT_0020,울산,35.501944,129.387222,12B20000,I,남해동부,11H20101,C,울산,경상남도
DT_0021,추자도,33.961944,126.300278,12A30000,I,서해남부,11G00800,C,추자도,제주도
DT_0022,성산포,33.474722,126.927778,12B10000,I,남해서부,11G00101,C,성산,제주도
DT_0023,모슬포,33.214444,126.251111,12B10000,I,남해서부,11G00401,C,서귀포,제주도
DT_0024,장항,36.006944,126.6875,12A20000,I,서해중부,11C20202,C,서천,충청남도
DT_0025,보령,36.406389,126.486111,12A20000,I,서해중부,11C20201,C,보령,충청남도
DT_0026,고흥발포,34.481111,127.342778,12B10000,I,남해서부,11F20403,C,고흥,전라남도
DT_0027,완도,34.315556,126.759722,12A30000,I,서해남부,11F20301,C,완도,전라남도
DT_0028,진도,34.377778,126.308611,12A30000,I,서해남부,21F20201,C,진도,서남해안
DT_0029,거제도,34.801389,128.699167,12B20000,I,남해동부,11H20403,C,거제,경상남도
DT_0030,위도,35.618056,126.301667,12A20000,I,서해중부,21F10602,C,위도,서남해안
DT_0031,거문도,34.028333,127.308889,12B10000,I,남해서부,11F20401,C,여수,전라남도
DT_0032,강화대교,37.731944,126.522222,12A10000,I,서해북부,11B20101,C,강화,수도권
DT_0034,안흥,36.673611,126.132222,12A20000,I,서해중부,11C20102,C,태안,충청남도
DT_0035,흑산도,34.684167,125.435556,12A30000,I,서해남부,21F20803,C,신안,서남해안
DT_0036,대청도,37.825222,124.718056,12A10000,I,서해북부,11A00101,C,백령도,백령도
DT_0037,어청도,36.117222,125.984722,12A20000,I,서해중부,21F10501,C,군산,서남해안
DT_0038,굴업도,37.194444,125.995,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0039,왕돌초,36.719167,129.7325,12C10000,I,동해남부,11H10101,C,울진,경상북도
DT_0040,독도,37.238889,131.867222,12C20000,I,동해중부,11E00102,C,독도,울릉도·독도
DT_0041,복사초,34.098333,126.168333,12A30000,I,서해남부,21F20201,C,진도,서남해안
DT_0042,교본초,34.704722,128.306389,12B20000,I,남해동부,11H20401,C,통영,경상남도
DT_0043,영흥도,37.238611,126.428611,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0044,영종대교,37.545556,126.584444,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0045,격렬비열도,36.624369,125.561964,12A20000,I,서해중부,11C20102,C,태안,충청남도
DT_0046,쌍정초,37.556161,130.939211,12C20000,I,동해중부,11E00101,C,울릉도,울릉도·독도
DT_0047,도농탄,33.158056,126.274722,12B10000,I,남해서부,11G00401,C,서귀포,제주도
DT_0048,속초등표,38.199478,128.613083,12C20000,I,동해중부,11D20401,C,속초,강원영동
DT_0049,광양,34.903672,127.754836,12B10000,I,남해서부,11F20402,C,광양,전라남도
DT_0050,태안,36.913056,126.238889,12A20000,I,서해중부,11C20102,C,태안,충청남도
DT_0051,서천마량,36.128889,126.495278,12A20000,I,서해중부,11C20202,C,서천,충청남도
DT_0052,인천송도,37.338056,126.586111,12A10000,I,서해북부,11B20201,C,인천,수도권
DT_0054,진해,35.147222,128.643056,12B20000,I,남해동부,11H20301,C,창원,경상남도
DT_0056,부산항신항,35.0775,128.784722,12B20000,I,남해동부,11H20201,C,부산,경상남도
